artist,artist_id,count,genres
Broken Social Scene,7lOJ7WXyopaxri0dbOiZkd,4,alternative dance|alternative rock|baroque pop|canadian indie|canadian rock|chillwave|dance-punk|freak folk|indie folk|indie pop|indie rock|modern rock|nu gaze|slowcore|stomp and holler
Bronze Radio Return,2ic4xySjQ39N7DJ0HZemeG,2,connecticut indie|indie folk|indie pop|indie poptimism|indiecoustica|modern rock|pop rock|shimmer pop|stomp and holler|stomp pop
Bruno Major,0hDjKSKjl1DC7ovYTDJHe8,1,indie r&b|pop
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,3,dance pop|pop
Busman's Holiday,0vGYvd52hokoir5xE6fmnD,1,indiana indie
Busty and the Bass,4XMc1qHObZ7aXQrH5MmbjK,2,retro soul
BØRNS,1KP6TWI40m7p3QBTU6u2xo,3,electropop|indie pop|modern rock|pop
C2C,28INUgyzTTRbvSphrJbgZ2,1,turntablism
CHAPPO,0fdMBzQuX9TIF6t6N8fwg6,1,brooklyn indie
CHVRCHES,3CjlHNtplJyTf9npxaPl5w,2,electropop|indie pop|indie poptimism|indietronica|metropopolis|neo-synthpop|shimmer pop
Caamp,0wyMPXGfOuQzNR54ujR9Ix,1,indie folk|new americana|stomp and holler
Caesars,4rGrN4XDYhP6dUAZMvcuHr,1,swedish indie rock
Café Tacvba,09xj0S68Y1OU1vHMCZAIvz,1,latin|latin alternative|latin rock|mexican rock|rock en espanol
Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,2,indie pop|indie rock|modern alternative rock|modern rock|punk blues|rock
Calexico,1OmdWpAh1pucAuZPzJaxIJ,1,alternative country|roots rock|slowcore|stomp and holler|tucson indie
Callie Hernandez,13kKxNPnxPeeWQaAaZwvCP,1,
Calliope Musicals,3I6AKy4LL4bfIvcscJRu23,1,austindie
Calum Scott,6ydoSd3N2mwgwBHtF6K7eX,1,neo mellow|pop|viral pop
Capital Cities,4gwpcMTbLWtBUlOijbVpuu,1,alternative dance|indie pop|metropopolis|modern rock
